N,1279,1,1,15
68195,1,1
26567,1,5
4114,1,7
69343,1,3
1836,1,1
89294,1,3
31975,1,6
80487,1,10
32423,1,5
93383,1,9
46279,1,9
98511,1,8
69351,1,4
4679,1,6
96983,1,2
N,2243,1,1,10
80614,1,10
98016,1,9
21295,1,2
89695,1,9
48861,1,1
38613,1,5
20071,1,7
77471,1,6
43701,1,6
51937,1,5
N,1667,1,1,17
65094,1,2
19109,1,9
89687,1,7
51925,1,6
81230,1,7
24029,8,10
89279,1,9
51685,1,5
20000,1,10
40663,1,5
56230,1,8
87399,1,3
65169,1,9
64467,1,10
89638,1,10
35542,1,3
31461,1,10
N,1794,1,1,10
76263,1,4
68308,1,1
80263,1,2
69839,1,3
61157,1,1
44711,1,9
91863,1,1
65251,1,2
69341,1,1
64701,1,8
N,2131,1,2,7
99527,1,7
65134,1,4
44629,1,3
72140,1,7
13782,1,4
62820,1,1
56295,1,6
N,1159,1,1,15
28830,1,5
9015,1,10
56295,1,2
15847,1,9
14944,1,7
38782,1,10
94910,1,8
6151,1,4
73027,1,3
29655,1,7
61149,1,2
62614,1,1
13379,1,10
5623,1,4
28335,1,3
N,2157,1,1,6
53987,1,6
21735,1,10
5223,1,8
48853,1,9
24006,1,7
38021,1,9
N,2263,1,2,12
21215,1,7
81569,1,9
52916,1,8
34511,1,1
56391,1,1
57058,1,2
14855,1,7
29927,1,4
24006,1,7
20166,1,2
23782,1,4
72629,1,6
N,2275,1,1,13
97895,1,10
85651,1,7
31972,1,10
9922,1,2
87301,1,9
64579,1,8
81603,1,9
67111,1,7
15575,1,4
76582,5,5
47319,1,1
32359,1,1
44485,1,5
N,1618,1,1,6
96711,1,2
36419,1,3
41925,1,1
90343,1,1
40679,1,8
78695,1,10
N,955,1,1,10
89831,1,7
81639,1,4
11463,1,5
6087,1,6
47797,1,4
36455,1,3
95830,1,5
57023,1,4
98979,1,10
29859,1,5
N,330,1,1,17
16095,1,10
93267,1,6
79333,1,6
60897,1,10
4665,1,9
27943,1,4
39826,1,10
21175,1,6
13381,1,10
15505,1,10
48439,1,8
97511,1,10
63022,1,7
44774,1,8
36567,1,10
93635,1,1
71650,1,1
N,1922,1,2,14
24291,1,3
14023,1,10
20103,1,5
11829,1,6
68639,1,10
95837,1,4
81637,1,4
64151,1,3
48807,1,8
78055,1,4
43750,1,4
64099,1,8
64663,1,10
48568,1,2
N,309,1,1,17
97367,1,4
60354,1,4
68751,1,10
48775,1,1
97636,1,3
84706,1,2
41279,1,4
45619,1,7
97941,1,9
89821,1,2
4103,1,3
42708,1,3
73319,1,3
32475,1,4
24263,1,1
11687,1,5
96437,1,5
N,2031,1,2,14
46815,1,10
7748,1,10
40503,1,3
36372,1,10
68166,7,10
24289,1,10
73279,1,2
67047,1,7
40596,1,3
32290,1,8
19111,1,9
14052,1,5
48855,1,9
64229,1,9
N,2302,1,1,10
1041,1,1
56927,1,3
95719,1,9
73443,1,2
23519,1,7
81631,1,7
39123,1,10
15455,1,1
55013,1,10
21587,1,6
N,743,1,2,6
87590,1,3
89303,1,9
81052,1,6
79301,1,1
24294,1,7
11445,1,2
N,2601,1,2,15
59109,1,6
44517,1,7
89827,1,9
15974,1,1
23239,1,7
84610,1,6
6007,1,10
70859,1,5
24039,1,10
6116,1,7
89527,1,8
48229,1,10
40167,1,3
68707,1,9
6159,1,10
N,1155,1,1,20
57023,1,10
6208,1,6
64598,1,1
21645,1,10
95783,1,5
72359,1,2
52959,1,4
71332,1,9
14399,1,6
71392,1,9
73373,1,7
11334,1,3
97639,1,5
64731,1,4
67239,1,8
24004,1,4
23921,1,10
73431,1,2
6213,1,6
35381,1,2
N,2289,1,1,17
32391,1,5
32263,1,4
79578,1,8
56792,1,1
87255,1,4
33957,1,2
88423,1,1
87773,1,8
81055,1,9
70879,1,9
37876,1,6
16099,1,1
24023,1,1
36510,1,4
6191,1,9
48870,1,3
32103,1,8
N,1283,1,1,9
89811,1,3
32862,1,6
95911,1,10
14022,1,7
5357,1,5
71395,6,2
12677,1,9
99827,1,9
5190,1,4
N,2273,1,2,18
19549,1,8
88775,1,2
47839,1,1
99442,1,4
40573,1,4
39832,1,5
8675,1,10
15783,1,8
74950,1,6
36518,1,4
5703,1,4
5734,1,5
81607,1,2
81573,1,4
71875,1,1
23264,1,1
48871,1,6
11815,1,5
N,1097,1,1,20
21663,1,3
37933,1,9
6215,1,5
31757,1,5
38859,1,7
93415,1,10
65244,1,3
70559,1,9
48833,1,7
95853,1,2
2035,1,1
24215,1,9
30087,1,2
48871,1,5
79559,1,3
23963,1,5
47718,1,7
72261,1,9
77533,1,9
72629,1,2
N,181,1,1,19
19359,1,6
97239,1,6
16093,1,8
15495,1,7
24931,1,4
97487,1,5
80481,1,10
23783,1,9
78023,1,6
57765,1,3
38755,1,4
64103,1,9
83982,1,6
11495,1,8
81539,1,7
18015,1,8
15847,1,10
68315,1,9
52695,1,9
N,1218,1,1,5
99027,1,9
79171,1,8
97933,1,2
92871,1,3
6647,1,9
N,2163,1,2,6
7549,1,2
65247,1,8
15815,1,4
31510,1,7
95828,1,5
6083,1,9
D,1,7
D,1,10
S,1,1,18,35
